,Latitude,Longitude,Store_Number,Address,Fuel,Num,store,NOP,Phone_Number,Country,State_Province
16,-114.994295,53.225812,Walmart Supercentre,"5217 Power Centre Blvd,Drayton Valley ,AB T7A 1S7,(780) 514-3207",None,1008,walmart supercentre,0,(780) 514-3207,Canada,AB
17,-112.687064,51.449393,Walmart,"1801 S Railway Ave,Drumheller ,AB T0J 0Y0,(403) 820-7744",None,1028,walmart,0,(403) 820-7744,Canada,AB
18,-113.389302,53.571242,Walmart,"1 Westmount Shopping Centre,Edmonton ,AB T5M 3L7,(780) 453-5801",None,1148,walmart,0,(780) 453-5801,Canada,AB
19,-113.59472,53.520574,Walmart Supercentre,"100 Meadowlark Shopping Centre NW,Edmonton ,AB T5R 5X1,(780) 483-4522",None,1149,walmart supercentre,0,(780) 483-4522,Canada,AB
20,-113.420415,53.421597,Walmart Supercentre,"110 Watt Common SW,Edmonton ,AB T6X 1X2,(587) 984-2091",None,1187,walmart supercentre,0,(587) 984-2091,Canada,AB
21,-113.481662,53.441312,Walmart Supercentre,"1203 Parsons Rd NW,Edmonton ,(NOP),AB T6N 0A9,(780) 463-6030",None,3029,walmart supercentre,1,(780) 463-6030,Canada,AB
22,-113.402255,53.599701,Walmart Supercentre,"13703 40 St NW,Edmonton ,AB T5Y 3B5,(780) 476-4460",None,3028,walmart supercentre,0,(780) 476-4460,Canada,AB
23,-113.542507,53.631757,Walmart Supercentre,"16940 127th St NWEdmonton ,(NOP),AB T6V 1S8,(780) 457-4366",None,1122,walmart supercentre,1,(780) 457-4366,Canada,AB
24,-113.644092,53.539488,Walmart Supercentre,"18521 Stony Plain Rd NW,Edmonton ,AB T5S 2V9,(780) 487-8626",None,3027,walmart supercentre,0,(780) 487-8626,Canada,AB
25,-113.390984,53.570576,Walmart Supercentre,"3210 118th Ave NW,Edmonton ,AB T5W 4W1,(780) 474-8015",None,1147,walmart supercentre,0,(780) 474-8015,Canada,AB
26,-113.494111,53.473023,Walmart Supercentre,"3931 Calgary Trail NW,Edmonton ,(NOP),AB T6J 5M8,(780) 437-7468",None,1145,walmart supercentre,1,(780) 437-7468,Canada,AB
27,-113.420457,53.539812,Walmart Supercentre,"5004 98 Ave NW,Edmonton ,(NOP),AB T6A 0A2,(780) 466-2002",None,3026,walmart supercentre,1,(780) 466-2002,Canada,AB
28,-113.600688,53.437912,Walmart Supercentre,"6110 Currents Dr. NW,Edmonton ,(NOP),AB T6W 0L7,(780) 438-1190",None,1094,walmart supercentre,1,(780) 438-1190,Canada,AB
29,-113.36349,53.478497,Walmart Supercentre,"775 Tamarack Way NW,Edmonton ,AB T6T 1H9,(587) 983-6228",None,1138,walmart supercentre,0,(587) 983-6228,Canada,AB
30,-113.486918,53.597308,Walmart Supercentre,"9402 135th Ave NW,Edmonton ,AB T5E 5R8,(780) 406-8807",None,1146,walmart supercentre,0,(780) 406-8807,Canada,AB
31,-116.448739,53.577055,Walmart Supercentre,"5750 2nd Ave,Edson ,AB T7E 0A1,(780) 723-6357",None,1048,walmart supercentre,0,(780) 723-6357,Canada,AB
32,-111.359153,56.72178,Walmart,"2 Hospital St,Fort McMurray ,AB T9H 5E4,(780) 790 6012",None,3157,walmart,0,(780) 790-6012,Canada,AB
33,-113.211403,53.69665,Walmart Supercentre,"9551 87 Ave,Fort Saskatchewan ,(NOP),AB T8L 4N3,(780) 998-3633",None,5753,walmart supercentre,1,(780) 998-3633,Canada,AB
34,-118.82819,55.17204,Walmart Supercentre,"11050 103 Ave,Grande Prairie ,AB T8V 7H1,(780) 513-3740",None,3147,walmart supercentre,0,(780) 513-3740,Canada,AB
35,-117.621222,53.386207,Walmart,"100 900 Carmichael Lane,Hinton ,AB T7V 1Y6,(780) 865-1421",None,3038,walmart,0,(780) 865-1421,Canada,AB
36,-113.568259,53.268594,Walmart Supercentre,"5302 Discovery Way,Leduc ,AB T9E 8J7,(780) 986-7574",None,3657,walmart supercentre,0,(780) 986-7574,Canada,AB
37,-112.791108,49.728593,Walmart Supercentre,"3195 26th Ave N,Lethbridge ,AB T1H 5P4,(403)380-6722",None,1078,walmart supercentre,0,(403) 380-6722,Canada,AB
38,-112.795234,49.65775,Walmart Supercentre,"3700 Mayor Magrath Dr S,Lethbridge ,AB T1K 7T6,(403) 328-6277",None,3048,walmart supercentre,0,(403) 328-6277,Canada,AB
39,-110.049273,53.27654,Walmart Supercentre,"4210 70th Ave,Lloydminster ,AB T9V 2X3,(780) 875-4777",Gas,3168,walmart supercentre,0,(780) 875-4777,Canada,AB
40,-110.642617,49.995015,Walmart Supercentre,"2051 Strachan Rd SE,Medicine Hat ,AB T1B 4J8,(403) 504-4410",None,3150,walmart supercentre,0,(403) 504-4410,Canada,AB
41,-113.977544,50.714099,Walmart Supercentre,"500 - 201 SouthRidge Dr,Okotoks ,AB T1S 2C8,(403) 995-1371",None,5708,walmart supercentre,0,(403) 995-1371,Canada,AB
42,-114.141037,51.799211,Walmart Supercentre,"6900 46th St,Olds OA2 ,AB T4H,(403) 556-3844",None,1084,walmart supercentre,0,(403) 556-3844,Canada,AB
43,-117.339138,56.2367,Walmart Supercentre,"9701 78th St,Peace River ,AB T8S 0A3,(708) 624-8911",None,1068,walmart supercentre,0,(708) 624-8911,Canada,AB
44,-113.947413,49.497742,Walmart Supercentre,"1100 Table Mountain Rd,Pincher Creek ,AB T0K 1W0,(403) 627-1790",None,1070,walmart supercentre,0,(403) 627-1790,Canada,AB
45,-113.81431,52.23347,Walmart Supercentre,"2010 50 Ave,Red Deer ,AB T4R 3A2,(403) 358-5842",None,3194,walmart supercentre,0,(403) 358-5842,Canada,AB
46,-113.812575,52.286129,Walmart Supercentre,"6375 50th Ave,Red Deer ,AB T4N 4C7,(403) 346-6650",None,3075,walmart supercentre,0,(403) 346-6650,Canada,AB
47,-113.633174,53.659257,Walmart Supercentre,"700 Saint Albert Rd,Saint Albert ,(NOP),AB T8N 7A5,(780) 458-1629",None,3087,walmart supercentre,1,(780) 458-1629,Canada,AB
48,-114.062149,50.900758,Walmart Supercentre,"100 - 310 Shawville Blvd,Shawnessy ,(NOP),AB T2Y 3S4,(403) 201-5415",Gas,3151,walmart supercentre,1,(403) 201-5415,Canada,AB
49,-113.318006,53.511029,Walmart Supercentre,"239 Wye Rd,Sherwood Park ,AB T8B 1N1,(780) 464-2105",Gas,3154,walmart supercentre,0,(780) 464-2105,Canada,AB
50,-113.279915,53.568364,Walmart Supercentre,"400-7000 Emerald Dr,Sherwood Park ,AB T8H 0P5,(780) 464-0418",None,1123,walmart supercentre,0,(780) 464-0418,Canada,AB
51,-114.784367,55.272669,Walmart Supercentre,"601 - 1500 Main St SW,Slave Lake ,AB T0G 2A4,(780) 849-9579",None,1030,walmart supercentre,0,(780) 849-9579,Canada,AB
52,-113.931937,53.539693,Walmart Supercentre,"90 Campsite Rd,Spruce Grove ,AB T7X 4H4,(780) 962-9002",None,3637,walmart supercentre,0,(780) 962-9002,Canada,AB
53,-112.738479,52.324303,Walmart Supercentre,"4721 70 St,Stettler ,AB T0C 2L1,(403) 742-4404",None,1034,walmart supercentre,0,(403) 742-4404,Canada,AB
54,-113.381997,51.038849,Walmart Supercentre,"200 Ranch Market,Strathmore ,AB T1P 0A1,(403) 934-9776",None,1049,walmart supercentre,0,(403) 934-9776,Canada,AB
55,-114.063359,52.305462,Walmart Supercentre,"3420 47th Ave,Sylvan Lake ,(NOP),AB T4S 0B6,(403) 887-7590",None,1102,walmart supercentre,1,(403) 887-7590,Canada,AB
56,-112.128097,49.783451,Walmart,"4500 64 St,Taber ,AB T1G 0A4,(403) 223-3458",None,1046,walmart,0,(403) 223-3458,Canada,AB
57,-112.082576,53.502912,Walmart Supercentre,"6809 Hwy 16A W,Vegreville ,AB T9C 0A2,(780) 632-6016",None,1071,walmart supercentre,0,(780) 632-6016,Canada,AB
58,-110.827387,52.841926,Walmart Supercentre,"2901 13th Ave,Wainwright ,AB T9W 0A1,(780) 842-3144",None,1062,walmart supercentre,0,(780) 842-3144,Canada,AB
59,-113.393672,52.953464,Walmart Supercentre,"3600 56 St,Wetaskiwin ,AB T9A 3T5,(780) 352-8093",None,3112,walmart supercentre,0,(780) 352-8093,Canada,AB
60,-115.668503,54.141354,Walmart Supercentre,"5005 Dahl Dr,Whitecourt ,AB T7S 1P6,(780) 706-3323",None,1009,walmart supercentre,0,(780) 706-3323,Canada,AB
61,-149.881507,61.192165,Walmart Supercenter,"3101 A St,Anchorage,AK,99503 ,(NOP),(907) 563-5900",None,2070,walmart supercenter,1,(907) 563-5900,USA,AK
62,-149.74255,61.21274,Walmart Supercenter,"7405 Debarr Rd,Anchorage,AK,99504 ,(NOP),(907) 339-9039",None,4359,walmart supercenter,1,(907) 339-9039,USA,AK
63,-149.868161,61.140234,Walmart Supercenter,"8900 Old Seward Hwy,Anchorage,AK,99515 ,(NOP),(907) 344-5300",None,2071,walmart supercenter,1,(907) 344-5300,USA,AK
64,-149.535324,61.30978,Walmart Supercenter,"18600 Eagle River Rd,Eagle River,AK,99577 ,(NOP),(907) 694-9780",None,2188,walmart supercenter,1,(907) 694-9780,USA,AK
65,-147.688971,64.857356,Walmart Supercenter,"537 Johansen Expy,Fairbanks,AK,99701 ,,(907) 451-9900",None,2722,walmart supercenter,0,(907) 451-9900,USA,AK
66,-151.226631,60.564167,Walmart Supercenter,"10096 Kenai Spur,Kenai,AK,99611 ,,(907) 395-0971",None,4474,walmart supercenter,0,(907) 395-0971,USA,AK
67,-131.720364,55.376113,Walmart,"4230 Don King Rd,Ketchikan,AK,99901 ,,(907) 247-2156",None,2710,walmart,0,(907) 247-2156,USA,AK
68,-152.36445,57.811389,Walmart,"2911 Mill Bay Rd,Kodiak,AK,99615 ,,(907) 481-1670",None,2711,walmart,0,(907) 481-1670,USA,AK
69,-149.362998,61.568711,Walmart Supercenter,"1350 S Seward Meridian Pkwy,Wasilla,AK,99654 ,,(907) 376-9780",None,2074,walmart supercenter,0,(907) 376-9780,USA,AK
70,-86.803848,33.235798,Murphy: USA,"560 Colonial Promenade Pkwy; I-65 Exit 238,Alabaster,AL,35007 ,,(205) 685-9750",Gas/Diesel,7687,murphy: usa,0,(205) 685-9750,USA,AL
71,-86.80236,33.235791,Walmart Supercenter,"630 Colonial Promenade Pkwy; I-65 Exit 238,Alabaster,AL,35007 ,,(205) 620-0360",Gas/Diesel,0423,walmart supercenter,0,(205) 620-0360,USA,AL
72,-86.828684,33.211457,Wm Nbrhd Mkt,"9085 Hwy 119; I 65 Exit 238,Alabaster,AL,35007 ,,(205) 624-6229",Gas,4756,Walmart nbrhd mkt,0,(205) 624-6229,USA,AL
73,-85.9783568,32.9396785,Murphy: USA,"2507 Hwy 280,Alexander City,AL,35010 ,,(256) 234-0415",Gas,5684,murphy: usa,0,(256) 234-0415,USA,AL
74,-85.976666,32.940771,Walmart Supercenter,"2643 Hwy 280,Alexander City,AL,35010 ,,(256) 234-0316",Gas,0726,walmart supercenter,0,(256) 234-0316,USA,AL
75,-86.445471,31.320815,Walmart Supercenter,"1991 Dr MLK Jr Expy,Andalusia,AL,36420 ,,(334) 222-6561",Gas/Diesel,1091,walmart supercenter,0,(334) 222-6561,USA,AL
76,-86.4472847,31.3187358,Murphy: USA,"1997 Dr MLK Jr Expy,Andalusia,AL,36420 ,,(334) 222-3846",Gas/Diesel,7394,murphy: usa,0,(334) 222-3846,USA,AL
77,-85.819395,33.719758,Walmart Supercenter,"5560 McClellan Blvd,Anniston,AL,36206 ,,(256) 820-3326",Gas,0329,walmart supercenter,0,(256) 820-3326,USA,AL
78,-85.8180352,33.7192029,Murphy: USA,"5564 McClellan Blvd,Anniston,AL,36206 ,,(256) 847-4040",Gas,5624,murphy: usa,0,(256) 847-4040,USA,AL
79,-86.500972,34.341907,Walmart Supercenter,"1450 N Brindlee Mountain Pkwy,Arab,AL,35016 ,,(256) 586-8168",Gas/Diesel,0306,walmart supercenter,0,(256) 586-8168,USA,AL
80,-86.5026703,34.3428307,Murphy: USA,"1468 N Brindlee Mountain Pkwy,Arab,AL,35016 ,,(256) 586-6070",Gas/Diesel,6890,murphy: usa,0,(256) 586-6070,USA,AL
81,-86.958676,34.787751,Walmart Supercenter,"1011 Hwy 72 E; I-65 Exit 351,Athens,AL,35611 ,,(256) 230-2981",Gas,0661,walmart supercenter,0,(256) 230-2981,USA,AL
82,-86.956765,34.788609,Murphy: USA,"800 Hwy 31,Athens,AL,35611 ,,(256) 216-9073",Gas,5625,murphy: usa,0,(256) 216-9073,USA,AL
83,-87.493024,31.035551,Walmart Supercenter,"911 N Main St,Atmore,AL,36502 ,,(251) 368-1403",None,7247,walmart supercenter,0,(251) 368-1403,USA,AL
84,-86.093527,33.994538,Walmart Supercenter,"973 Gilbert Ferry Rd SE; I-59 Exit 181,Attalla,AL,35954 ,,(256) 538-3811",Gas,0316,walmart supercenter,0,(256) 538-3811,USA,AL
85,-85.4993057,32.5712166,Murphy: USA,"1717 S College St; I-85 Exit 51,Auburn,AL,36832 ,,(334) 502-7196",Gas,6562,murphy: usa,0,(334) 502-7196,USA,AL
86,-85.497471,32.571045,Walmart Supercenter,"1717 S College St; I-85 Exit 51,Auburn,AL,36830 ,,(334) 821-2493",Gas,0356,walmart supercenter,0,(334) 821-2493,USA,AL
87,-85.507812,32.601971,Wm Nbrhd Mkt,"1810 Shug Jordan Pkwy,Auburn,AL,36832 ,,(334) 539-6318",Gas,4673,Walmart nbrhd mkt,0,(334) 539-6318,USA,AL
88,-85.449951,32.624538,Wm Nbrhd Mkt,"2047 E University Dr,Auburn,AL,36830 ,,(334) 539-6214",Gas,5062,Walmart nbrhd mkt,0,(334) 539-6214,USA,AL
89,-85.430014,32.608515,Sam's Club,"2335 Bent Creek Rd; I-85 Exit 57,Auburn,AL,36830 ,,(334) 821-0121",Gas/Diesel,4989,sam's club,0,(334) 821-0121,USA,AL
90,-87.7880976,30.8845009,Murphy: USA,"1000 W 7th,Bay Minette,AL,36507 ,,(251) 580-5189",Gas/Diesel,6735,murphy: usa,0,(251) 580-5189,USA,AL
91,-87.789589,30.885155,Walmart Supercenter,"701 McMeans Ave,Bay Minette,AL,36507 ,,(251) 937-5558",Gas/Diesel,2739,walmart supercenter,0,(251) 937-5558,USA,AL
92,-87.000752,33.361937,Walmart Supercenter,"750 Academy Dr; I-20/59 Exit 108,Bessemer,AL,35022 ,,(205) 424-5890",Gas/Diesel,0764,walmart supercenter,0,(205) 424-5890,USA,AL
93,-86.999478,33.361967,Murphy: USA,"756 Academy Dr; I-20/59 Exit 108,Bessemer,AL,35022 ,,(205) 428-2447",Gas/Diesel,7542,murphy: usa,0,(205) 428-2447,USA,AL
94,-86.7015166,33.5865737,Murphy: USA,"121 Roebuck Plaza Dr ,Birmingham,AL,35206 ,,(205) 838-2277",Gas/Diesel,7022,murphy: usa,0,(205) 838-2277,USA,AL
95,-86.684336,33.637771,Wm Nbrhd Mkt,"1916 Center Point Rd,Birmingham,AL,35215 ,(NOP),(205) 520-0269",None,5100,Walmart nbrhd mkt,1,(205) 520-0269,USA,AL
96,-86.924324,33.580015,Walmart Supercenter,"2473 Hackworth Rd,Birmingham,AL,35005 ,,(205) 798-9721",None,1158,walmart supercenter,0,(205) 798-9721,USA,AL
97,-86.739678,33.383703,Wm Nbrhd Mkt,"2653 Valleydale Rd,Birmingham,AL,35244 ,(NOP),(205) 582-6183",None,3424,Walmart nbrhd mkt,1,(205) 582-6183,USA,AL
98,-86.820963,33.467775,Wm Nbrhd Mkt,"312 Palisades Blvd; I-65 Exit 256,Birmingham,AL,35209 ,(NOP),(205) 870-8101",None,4504,Walmart nbrhd mkt,1,(205) 870-8101,USA,AL
99,-86.675768,33.421066,Walmart Supercenter,"5335 Hwy 280 S,Birmingham,AL,35242 ,,(205) 980-5156",None,2111,walmart supercenter,0,(205) 980-5156,USA,AL
100,-86.629063,33.639944,Walmart Supercenter,"5919 Trussville Crossings Pkwy; I-59 Exit 141,Birmingham,AL,35235 ,,(205) 661-1973",None,2713,walmart supercenter,0,(205) 661-1973,USA,AL
101,-86.625486,33.64461,Sam's Club,"5940 Trussville Crossing Blvd; I-59 Exit 141,Birmingham,AL,35235 ,,(205) 655-0505",Gas,4817,sam's club,0,(205) 655-0505,USA,AL
102,-86.702787,33.588879,Walmart Supercenter,"9248 Pkwy E; I-59 Exit 134,Birmingham,AL,35215 ,(NOP),(205) 833-7676",Gas/Diesel,0762,walmart supercenter,1,(205) 833-7676,USA,AL
103,-86.154183,34.214719,Walmart Supercenter,"1972 Hwy 431,Boaz,AL,35957 ,,(256) 593-0195",Gas/Diesel,0298,walmart supercenter,0,(256) 593-0195,USA,AL
104,-86.156547,34.215927,Murphy: USA,"2040 Hwy 431,Boaz,AL,35957 ,,(256) 593-0975",Gas/Diesel,6884,murphy: usa,0,(256) 593-0975,USA,AL
105,-87.171218,32.963891,Walmart Supercenter,"10675 Hwy 5,Brent,AL,35034 ,,(205) 926-4878",None,0425,walmart supercenter,0,(205) 926-4878,USA,AL
106,-87.071111,31.139671,Walmart Supercenter,"2578 Douglas Ave,Brewton,AL,36426 ,,(251) 867-4680",None,1620,walmart supercenter,0,(251) 867-4680,USA,AL
107,-86.7498748,33.146051,Murphy: USA,"169 Super Center Dr ,Calera,AL,35040 ,,(205) 668-2778",Gas/Diesel,6694,murphy: usa,0,(205) 668-2778,USA,AL
108,-86.749933,33.146733,Walmart Supercenter,"5100 Hwy 31; I-65 Exit 231,Calera,AL,35040 ,,(205) 668-0831",Gas/Diesel,3271,walmart supercenter,0,(205) 668-0831,USA,AL
109,-85.713114,34.162109,Walmart Supercenter,"1950 W Main St,Centre,AL,35960 ,,(256) 927-9900",Gas/Diesel,5126,walmart supercenter,0,(256) 927-9900,USA,AL
110,-85.7141867,34.161121,Murphy: USA,"1960 W Main St,Centre,AL,35960 ,,(256) 927-5670",Gas/Diesel,6924,murphy: usa,0,(256) 927-5670,USA,AL
111,-86.61854,33.349443,Murphy: USA,"16073 Hwy 280,Chelsea,AL,35043 ,,(205) 678-0590",Gas/Diesel,7545,murphy: usa,0,(205) 678-0590,USA,AL
112,-86.619256,33.348741,Walmart Supercenter,"16077 Hwy 280,Chelsea,AL,35043 ,,(205) 678-2222",None,4330,walmart supercenter,0,(205) 678-2222,USA,AL
113,-86.6091614,32.819024,Murphy: USA,"1411 7th St S,Clanton,AL,35045 ,,(205) 280-4542",Gas,5686,murphy: usa,0,(205) 280-4542,USA,AL
114,-86.608656,32.81751,Walmart Supercenter,"1415 7th St S,Clanton,AL,35045 ,,(205) 755-7574",Gas,0424,walmart supercenter,0,(205) 755-7574,USA,AL
115,-86.867642,34.206543,Walmart Supercenter,"5601 Hwy 157,Cullman,AL,35058 ,,(256) 615-6667",None,7280,walmart supercenter,0,(256) 615-6667,USA,AL
116,-86.8416667,34.1515669,Murphy: USA,"624 Olive St SW,Cullman,AL,35055 ,,(256) 739-7143",Gas/Diesel,6770,murphy: usa,0,(256) 739-7143,USA,AL
117,-86.84217,34.150102,Walmart Supercenter,"626 Olive St SW,Cullman,AL,35055 ,,(256) 734-8904",Gas/Diesel,0670,walmart supercenter,0,(256) 734-8904,USA,AL
118,-87.9055252,30.6250114,Murphy: USA,"27521 Walmart Dr ,Daphne,AL,36526 ,,(251) 625-0940",Gas/Diesel,6619,murphy: usa,0,(251) 625-0940,USA,AL
119,-87.855036,30.659206,Sam's Club,"29683 Frederick Blvd,Daphne,AL,36526 ,,(251) 626-6909",Gas/Diesel,4990,sam's club,0,(251) 626-6909,USA,AL
120,-87.905836,30.625109,Walmart Supercenter,"27520 Hwy 98,Daphne/lake Forest,AL,36526 ,(NOP),(251) 626-0923",Gas/Diesel,0934,walmart supercenter,1,(251) 626-0923,USA,AL
121,-86.980726,34.589341,Wm Nbrhd Mkt,"1203 6th Ave SE,Decatur,AL,35601 ,(NOP),(256) 822-6366",None,2488,Walmart nbrhd mkt,1,(256) 822-6366,USA,AL
122,-86.996774,34.556577,Walmart Supercenter,"2800 Spring Ave SW,Decatur,AL,35603 ,,(256) 350-4624",Gas,0662,walmart supercenter,0,(256) 350-4624,USA,AL
123,-86.99665,34.556568,Murphy: USA,"2800 Spring Ave SW,Decatur,AL,35603 ,,(256) 301-1734",Gas,6500,murphy: usa,0,(256) 301-1734,USA,AL
124,-87.8490146,32.4968485,Murphy: USA,"1057 Hwy 80 W,Demopolis,AL,36732 ,,(334) 287-2199",Gas/Diesel,7274,murphy: usa,0,(334) 287-2199,USA,AL
125,-87.849767,32.493672,Walmart Supercenter,"969 Hwy 80 W,Demopolis,AL,36732 ,,(334) 289-2385",Gas/Diesel,0731,walmart supercenter,0,(334) 289-2385,USA,AL
126,-85.403192,31.178689,Walmart Supercenter,"3300 S Oates St,Dothan,AL,36301 ,,(334) 702-1310",Gas/Diesel,2534,walmart supercenter,0,(334) 702-1310,USA,AL
127,-85.4020668,31.177897,Murphy: USA,"3370 S Oates St,Dothan,AL,36301 ,,(334) 673-9393",Gas/Diesel,6740,murphy: usa,0,(334) 673-9393,USA,AL
128,-85.427009,31.244343,Sam's Club,"3440 Ross Clark Crl NW,Dothan,AL,36303 ,,(334) 671-5005",Gas,8192,sam's club,0,(334) 671-5005,USA,AL
129,-85.450272,31.232255,Wm Nbrhd Mkt,"3871 W Main St,Dothan,AL,36305 ,,(334) 547-6508",None,5769,Walmart nbrhd mkt,0,(334) 547-6508,USA,AL
130,-85.440582,31.267021,Walmart Supercenter,"4310 Montgomery Hwy,Dothan,AL,36303 ,,(334) 793-3099",Gas/Diesel,0604,walmart supercenter,0,(334) 793-3099,USA,AL
131,-85.8486633,31.3409863,Murphy: USA,"600 Boll Weevil Circle,Enterprise,AL,36330 ,,(334) 347-0615",Gas,5716,murphy: usa,0,(334) 347-0615,USA,AL
132,-85.827301,31.315718,Walmart Supercenter,"600 Boll Weevil Circle,Enterprise,AL,36330 ,,(334) 347-5353",Gas,0734,walmart supercenter,0,(334) 347-5353,USA,AL
133,-85.169277,31.843765,Walmart Supercenter,"3176 S Eufaula Ave,Eufaula,AL,36072 ,,(334) 687-2218",Gas/Diesel,1638,walmart supercenter,0,(334) 687-2218,USA,AL
134,-85.1674238,31.8433604,Murphy: USA,"3182 S Eufaula Ave,Eufaula,AL,36027 ,,(334) 687-0190",Gas/Diesel,7478,murphy: usa,0,(334) 687-0190,USA,AL
135,-86.9149259,33.4660593,Murphy: USA,"7203 Aaron Aronov Dr,Fairfield,AL,35064 ,,(205) 925-0365",Gas/Diesel,7380,murphy: usa,0,(205) 925-0365,USA,AL
136,-87.851335,30.523594,Walmart Supercenter,"10040 County Rd 48,Fairhope,AL,36533 ,,(251) 990-9006",None,4333,walmart supercenter,0,(251) 990-9006,USA,AL
137,-87.8524605,30.5214096,Murphy: USA,"20390 Hwy 181,Fairhope,AL,36532 ,,(251) 929-0695",Gas/Diesel,7506,murphy: usa,0,(251) 929-0695,USA,AL
138,-87.8091542,33.7337371,Murphy: USA,"3184 Hwy 171 N,Fayette,AL,35555 ,,(205) 932-2130",Gas,5746,murphy: usa,0,(205) 932-2130,USA,AL
139,-87.809441,33.731747,Walmart Supercenter,"3186 Hwy 171 N,Fayette,AL,35555 ,,(205) 932-5277",Gas,1052,walmart supercenter,0,(205) 932-5277,USA,AL
140,-87.657927,34.818559,Wm Nbrhd Mkt,"1410 Florence Blvd,Florence,AL,35630 ,(NOP),(256) 712-6195",None,4188,Walmart nbrhd mkt,1,(256) 712-6195,USA,AL
141,-87.686623,34.841215,Walmart Supercenter,"2701 Cloverdale Rd,Florence,AL,35633 ,,(256) 712-6410",None,4187,walmart supercenter,0,(256) 712-6410,USA,AL
142,-87.626348,34.834258,Walmart Supercenter,"3100 Hough Rd,Florence,AL,35630 ,,(256) 767-7581",None,0766,walmart supercenter,0,(256) 767-7581,USA,AL
143,-87.633309,34.840258,Sam's Club,"364 Cox Creek Pkwy,Florence,AL,35630 ,,(256) 767-9960",Gas/Diesel,8196,sam's club,0,(256) 767-9960,USA,AL
144,-87.6834331,30.3830586,Murphy: USA,"2180 S McKenzie St,Foley,AL,36535 ,,(251) 971-2411",Gas,5720,murphy: usa,0,(251) 971-2411,USA,AL
145,-87.685801,30.382455,Walmart Supercenter,"2200 S Mckenzie St,Foley,AL,36535 ,,(251) 943-3400",Gas,0904,walmart supercenter,0,(251) 943-3400,USA,AL
146,-85.7594711,34.4385519,Murphy: USA,"1915 Glenn Blvd SW,Fort Payne,AL,35968 ,,(256) 845-7728",Gas,5811,murphy: usa,0,(256) 845-7728,USA,AL
147,-85.760699,34.439762,Walmart Supercenter,"2001 Glenn Blvd SW; I-59 Exit 218,Fort Payne,AL,35968 ,,(256) 845-3163",Gas,0691,walmart supercenter,0,(256) 845-3163,USA,AL
